trace_id,hazard_id,requirement_id,rationale,control_id,allocation_ids,test_id,evidence_id,owner,status,change_impact_id
TRC-001,HAZ-001,SR-001,Present or unknown occupancy must not be normalized during represented motion,CTRL-001,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-001,EVID-001;EVID-018;EVID-019;EVID-022;EVID-025;EVID-026,ROLE-SAFETY-OWNER,planned,CI-001
TRC-002,HAZ-002,SR-002,Recovery events must remain separate from any later fresh start,CTRL-002,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-002,EVID-002;EVID-020;EVID-023;EVID-024;EVID-025;EVID-026,ROLE-SAFETY-OWNER,planned,CI-002
TRC-003,HAZ-003,SR-003,Unexpected or mismatched motion must remain explicit and latched,CTRL-003,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-003,EVID-003;EVID-018;EVID-019;EVID-022;EVID-025;EVID-026;EVID-030;EVID-031;EVID-032;EVID-033,ROLE-SAFETY-OWNER,planned,CI-003
TRC-004,HAZ-004,SR-004,Represented motion outside immutable reviewed limits requires intervention,CTRL-004,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-004,EVID-004;EVID-018;EVID-019;EVID-025;EVID-026,ROLE-SAFETY-OWNER,planned,CI-004
TRC-005,HAZ-005,SR-005,Missing stale malformed or contradictory sensing cannot establish normal state,CTRL-005,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-005,EVID-005;EVID-015;EVID-019;EVID-022;EVID-023;EVID-024;EVID-025;EVID-026;EVID-030,ROLE-SAFETY-OWNER,planned,CI-005
TRC-006,HAZ-006,SR-006,Temporal ambiguity can associate old physical state with new intent,CTRL-006,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-006,EVID-006;EVID-016;EVID-022;EVID-023;EVID-025;EVID-026;EVID-032;EVID-033,ROLE-SAFETY-OWNER,planned,CI-006
TRC-007,HAZ-007,SR-007,Request or acknowledgment must never be mistaken for successful physical stopping,CTRL-007,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-007,EVID-007;EVID-013;EVID-019;EVID-020;EVID-023;EVID-024;EVID-025;EVID-026;EVID-028;EVID-029,ROLE-SAFETY-OWNER,planned,CI-007
TRC-008,HAZ-008,SR-008,Each decision must use one exact reviewed configuration identity,CTRL-008,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-008,EVID-008;EVID-014;EVID-019;EVID-022;EVID-023;EVID-024;EVID-025;EVID-026,ROLE-SAFETY-OWNER,planned,CI-008
TRC-009,HAZ-009,SR-009,Restart must not erase a latch or initialize uncertainty as normal,CTRL-009,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-009,EVID-009;EVID-021;EVID-023;EVID-024;EVID-025;EVID-026;EVID-027,ROLE-SAFETY-OWNER,planned,CI-009
TRC-010,HAZ-010,SR-010,Acknowledgment reset rearm recovery and fresh start require distinct authority,CTRL-010,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-010,EVID-010;EVID-020;EVID-023;EVID-024;EVID-025;EVID-026;EVID-027,ROLE-SAFETY-OWNER,planned,CI-010
TRC-011,HAZ-011,SR-011,The untrusted production domain cannot administer its independent monitor,CTRL-011,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-011,EVID-011;EVID-017;EVID-020;EVID-023;EVID-024;EVID-025;EVID-026,ROLE-SAFETY-OWNER,planned,CI-011
TRC-012,HAZ-012,SR-012,Logical separation is insufficient while shared dependencies remain unresolved,CTRL-012,ALLOC-OBS-001;ALLOC-LOGIC-001;ALLOC-OUTPUT-001;ALLOC-EXTCTRL-001;ALLOC-FINAL-001,TEST-012,EVID-012,ROLE-SAFETY-OWNER,planned,CI-012
